subject,session,class_name,cue_side,rt_group,n_trials,n_unusable,unusable_rate,mean_error,mean_RT
s09,1,noMS,left,validRT,85,64,0.752941176470588,10.0352941176471,862.294117647059
s09,1,noMS,left,trimmedRT,8,6,0.75,13,1677.875
s09,1,noMS,right,validRT,83,61,0.734939759036145,10.7228915662651,859.385542168675
s09,1,noMS,right,trimmedRT,9,8,0.888888888888889,11.3333333333333,1976.33333333333
s09,1,noMS,other,validRT,0,0,NaN,NaN,NaN
s09,1,noMS,other,trimmedRT,0,0,NaN,NaN,NaN
s09,1,away,left,validRT,51,8,0.156862745098039,8.35294117647059,659.21568627451
s09,1,away,left,trimmedRT,2,2,1,7.5,1714.5
s09,1,away,right,validRT,64,8,0.125,8.765625,677.953125
s09,1,away,right,trimmedRT,3,3,1,10.3333333333333,1689.66666666667
s09,1,away,other,validRT,0,0,NaN,NaN,NaN
s09,1,away,other,trimmedRT,0,0,NaN,NaN,NaN
s09,1,tooSmall,left,validRT,43,16,0.372093023255814,8.58139534883721,768.023255813953
s09,1,tooSmall,left,trimmedRT,1,1,1,5,1590
s09,1,tooSmall,right,validRT,46,22,0.478260869565217,10.3913043478261,798.304347826087
s09,1,tooSmall,right,trimmedRT,1,1,1,2,1716
s09,1,tooSmall,other,validRT,0,0,NaN,NaN,NaN
s09,1,tooSmall,other,trimmedRT,0,0,NaN,NaN,NaN
s09,1,unclassified,left,validRT,0,0,NaN,NaN,NaN
s09,1,unclassified,left,trimmedRT,0,0,NaN,NaN,NaN
s09,1,unclassified,right,validRT,0,0,NaN,NaN,NaN
s09,1,unclassified,right,trimmedRT,0,0,NaN,NaN,NaN
s09,1,unclassified,other,validRT,0,0,NaN,NaN,NaN
s09,1,unclassified,other,trimmedRT,0,0,NaN,NaN,NaN
s09,2,toward,left,validRT,114,4,0.0350877192982456,9.82456140350877,646.622807017544
s09,2,toward,left,trimmedRT,0,0,NaN,NaN,NaN
s09,2,toward,right,validRT,97,16,0.164948453608247,9.17525773195876,680.680412371134
s09,2,toward,right,trimmedRT,0,0,NaN,NaN,NaN
s09,2,toward,other,validRT,0,0,NaN,NaN,NaN
